ID,PrimaryStreetSuffixName,CommonlyUsed,PostalServiceStandardSuffixAbbreviation
1,ALLEY,ALLEE,ALY
2,ALLEY,ALLEY,ALY
3,ALLEY,ALLY,ALY
4,ALLEY,ALY,ALY
5,ANNEX,ANEX ,ANX
6,ANNEX,ANNEX,ANX
7,ANNEX,ANNX,ANX
8,ANNEX ,ANX,ANX
9,ARCADE,ARC,ARC
10,ARCADE,ARCADE,ARC
11,AVENUE,AV,AVE
12,AVENUE,AVE,AVE
13,AVENUE,AVEN,AVE
14,AVENUE,AVENU,AVE
15,AVENUE,AVENUE,AVE
16,AVENUE,AVN,AVE
17,AVENUE,AVNUE,AVE
18,BAYOO,BAYOO,BYU
19,BAYOO,BAYOU,BYU
20,BEACH,BCH,BCH
21,BEACH,BEACH,BCH
22,BEND,BEND,BND
23,BEND,BND,BND
24,BLUFF,BLF,BLF
25,BLUFF,BLUF,BLF
26,BLUFF,BLUFF,BLF
27,BLUFFS,BLUFFS,BLFS
28,BOTTOM,BOT,BTM
29,BOTTOM,BOTTM,BTM
30,BOTTOM,BOTTOM,BTM
31,BOTTOM ,BTM,BTM
32,BOULEVARD,BLVD,BLVD
33,BOULEVARD,BOUL,BLVD
34,BOULEVARD,BOULEVARD,BLVD
35,BOULEVARD,BOULV,BLVD
36,BRANCH,BR,BR
37,BRANCH,BRANCH,BR
38,BRANCH,BRNCH,BR
39,BRIDGE,BRDGE,BRG
40,BRIDGE,BRG,BRG
41,BRIDGE,BRIDGE,BRG
42,BROOK,BRK,BRK
43,BROOK,BROOK,BRK
44,BROOKS,BROOKS,BRKS
45,BURG,BURG,BG
46,BURGS,BURGS,BGS
47,BYPASS,BYP,BYP
48,BYPASS,BYPA,BYP
49,BYPASS,BYPAS,BYP
50,BYPASS,BYPASS,BYP
51,BYPASS,BYPS,BYP
52,CAMP ,CAMP,CP
53,CAMP ,CMP,CP
54,CAMP ,CP,CP
55,CANYON ,CANYN,CYN
56,CANYON ,CANYON,CYN
57,CANYON ,CNYN,CYN
58,CANYON ,CYN,CYN
59,CAPE ,CAPE,CPE
60,CAPE ,CPE,CPE
61,CAUSEWAY ,CAUSEWAY,CSWY
62,CAUSEWAY ,CAUSWAY,CSWY
63,CAUSEWAY ,CSWY,CSWY
64,CENTER ,CEN,CTR
65,CENTER ,CENT,CTR
66,CENTER ,CENTER ,CTR
67,CENTER ,CENTR ,CTR
68,CENTER ,CENTRE,CTR
69,CENTER ,CNTER ,CTR
70,CENTER ,CNTR ,CTR
71,CENTER ,CTR ,CTR
72,CENTERS ,CENTERS ,CTRS
73,CIRCLE ,CIR ,CIR
74,CIRCLE ,CIRC ,CIR
75,CIRCLE ,CIRCL ,CIR
76,CIRCLE ,CIRCLE ,CIR
77,CIRCLE ,CRCL ,CIR
78,CIRCLE ,CRCLE ,CIR
79,CIRCLES ,CIRCLES ,CIRS
80,CLIFF ,CLF ,CLF
81,CLIFF ,CLIFF ,CLF
82,CLIFFS ,CLFS ,CLFS
83,CLIFFS ,CLIFFS ,CLFS
84,CLUB ,CLB ,CLB
85,CLUB ,CLUB ,CLB
86,COMMON ,COMMON ,CMN
87,CORNER ,COR ,COR
88,CORNER ,CORNER ,COR
89,CORNERS ,CORNERS ,CORS
90,CORNERS ,CORS ,CORS
91,COURSE ,COURSE ,CRSE
92,COURSE ,CRSE ,CRSE
93,COURT ,COURT ,CT
94,COURT ,CRT ,CT
95,COURT ,CT ,CT
96,COURTS ,COURTS ,CTS
97,COURTS ,CT ,CTS
98,COVE ,COVE ,CV
99,COVE ,CV ,CV
100,COVES ,COVES ,CVS
101,CREEK ,CK ,CRK
102,CREEK ,CR ,CRK
103,CREEK ,CREEK ,CRK
104,CREEK ,CRK ,CRK
105,CRESCENT ,CRECENT ,CRES
106,CRESCENT ,CRES ,CRES
107,CRESCENT ,CRESCENT ,CRES
108,CRESCENT ,CRESENT ,CRES
109,CRESCENT ,CRSCNT ,CRES
110,CRESCENT ,CRSENT ,CRES
111,CRESCENT ,CRSNT ,CRES
112,CREST ,CREST ,CRST
113,CROSSING ,CROSSING ,XING
114,CROSSING ,CRSSING ,XING
115,CROSSING ,CRSSNG ,XING
116,CROSSING ,XING ,XING
117,CROSSROAD ,CROSSROAD ,XRD
118,CURVE ,CURVE ,CURV
119,DALE,DALE,DL
120,DALE,DL,DL
121,DAM,DAM,DM
122,DAM,DM ,DM
123,DIVIDE,DIV,DV
124,DIVIDE,DIVIDE,DV
125,DIVIDE,DV,DV
126,DIVIDE,DVD,DV
127,DRIVE,DRIV,DR
128,DRIVE,DRIVE,DR
129,DRIVE,DRV,DR
130,DRIVE ,DR,DR
131,DRIVES,DRIVES,DRS
132,ESTATE,EST,EST
133,ESTATE,ESTATE,EST
134,ESTATES,ESTATES,ESTS
135,ESTATES,ESTS,ESTS
136,EXPRESSWAY,EXP,EXPY
137,EXPRESSWAY,EXPR,EXPY
138,EXPRESSWAY,EXPRESS,EXPY
139,EXPRESSWAY,EXPRESSWAY,EXPY
140,EXPRESSWAY,EXPW,EXPY
141,EXPRESSWAY,EXPY,EXPY
142,EXTENSION,EXT,EXT
143,EXTENSION,EXTENSION,EXT
